 1	19/02/2020 15:00:00	  49.5	  4.2	;
 1	20/02/2020 03:00:00	  49.4	  1.2	;
 1	20/02/2020 15:00:00	  49.5	  4.7	;
 1	21/02/2020 03:00:00	  49.4	  4.5	;
 1	21/02/2020 15:00:00	  49.5	  5.2	;
 1	22/02/2020 03:00:00	  49.4	  2.5	;
 1	22/02/2020 15:00:00	  49.4	 10.2	;
 1	23/02/2020 03:00:00	  49.3	  8.2	;
 1	23/02/2020 15:00:00	  49.2	 10.7	;
 1	24/02/2020 03:00:00	  49.4	  4.0	;
 1	24/02/2020 15:00:00	  49.4	  6.2	;
 1	25/02/2020 03:00:00	  49.4	  7.4	;
 1	25/02/2020 15:00:00	  49.3	  9.0	;
 1	26/02/2020 03:00:00	  49.2	  3.2	;
 1	26/02/2020 15:00:00	  49.2	  4.7	;
 1	27/02/2020 03:00:00	  49.2	  0.5	;
 1	27/02/2020 15:00:00	  49.2	  5.0	;
 1	28/02/2020 03:00:00	  49.1	 -0.2	;
 1	28/02/2020 15:00:00	  49.2	  5.0	;
 1	29/02/2020 03:00:00	  49.0	  0.2	;
 1	29/02/2020 15:00:00	  49.2	  9.2	;
 1	01/03/2020 03:00:00	  49.0	  4.7	;
 1	01/03/2020 15:00:00	  49.1	 11.4	;
 1	02/03/2020 03:00:00	  48.8	  2.2	;
 1	02/03/2020 15:00:00	  49.0	 11.2	;
 1	03/03/2020 03:00:00	  48.6	  2.7	;
 1	03/03/2020 15:00:00	  48.6	  5.0	;
 1	04/03/2020 03:00:00	  48.6	 -2.5	;
 1	04/03/2020 15:00:00	  48.8	  6.2	;
 1	05/03/2020 03:00:00	  48.5	 -3.4	;
 1	05/03/2020 15:00:00	  48.8	  9.7	;
 1	06/03/2020 03:00:00	  48.6	  4.0	;
 1	06/03/2020 15:00:00	  48.6	  7.7	;
 1	07/03/2020 03:00:00	  48.4	  3.7	;
 1	07/03/2020 15:00:00	  48.5	  6.5	;
 1	08/03/2020 03:00:00	  48.4	  2.0	;
 1	08/03/2020 15:00:00	  48.6	  7.4	;
 1	09/03/2020 03:00:00	  48.4	 -0.2	;
 1	09/03/2020 15:00:00	  48.6	  8.0	;
 1	10/03/2020 03:00:00	  48.4	 -0.2	;
 1	10/03/2020 15:00:00	  48.5	  5.0	;
 1	11/03/2020 03:00:00	  48.8	  8.5	;
 1	11/03/2020 15:00:00	  48.8	 12.2	;
 1	12/03/2020 03:00:00	  48.6	  8.2	;
 1	12/03/2020 15:00:00	  48.6	 15.0	;
 1	13/03/2020 03:00:00	  48.4	  5.2	;
 1	13/03/2020 15:00:00	  48.2	  8.7	;
 1	14/03/2020 03:00:00	  48.0	 -2.5	;
 1	14/03/2020 15:00:00	  48.2	  9.4	;
