STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 15/07/22 12   10.4  -0.2  17.2
1236505 15/07/22 06   10.6   0.0   8.6
1236505 15/07/22 00   10.6   0.0  13.3
1236505 14/07/22 18   10.6  -0.2  26.8
1236505 14/07/22 12   10.8  -0.2  23.6
1236505 14/07/22 06   11.0  -0.2  14.4
1236505 14/07/22 00   11.2   0.1  20.0
1236505 13/07/22 18   11.1  -0.1  28.3
1236505 13/07/22 12   11.2  -0.2  28.4
1236505 13/07/22 06   11.4  -0.2  10.6
1236505 13/07/22 00   11.6  -0.2  13.9
1236505 12/07/22 18   11.8  -0.2  25.9
1236505 12/07/22 12   12.0   0.0  24.2
1236505 12/07/22 06   12.0  -0.1   8.8
1236505 12/07/22 00   12.1  -0.1  13.2
1236505 11/07/22 18   12.2  -0.2  24.0
1236505 11/07/22 12   12.4   0.0  22.2
1236505 11/07/22 06   12.4  -0.1  10.6
1236505 11/07/22 00   12.5  -0.1  12.3
1236505 10/07/22 18   12.6  -0.2  16.4
1236505 10/07/22 12   12.8   0.0  14.9
1236505 10/07/22 06   12.8  -0.1   9.7
1236505 10/07/22 00   12.9  -0.3  13.6
1236505 09/07/22 18   13.2  -0.2  18.4
1236505 09/07/22 12   13.4   0.2  19.6
1236505 09/07/22 06   13.2  -0.2  11.8
1236505 09/07/22 00   13.4  -0.3  14.3
1236505 08/07/22 18   13.7  -1.4  19.2
1236505 30/06/22 18   15.1  -1.4  29.9
1236505 30/06/22 15   16.5   0.2  26.6
1236505 30/06/22 12   16.3  -0.1  26.8
1236505 30/06/22 09   16.4   0.3  19.7
1236505 30/06/22 06   16.1  -0.1  17.9
1236505 30/06/22 03   16.2  -0.2  18.8
1236505 30/06/22 00   16.4   0.9  19.4
1236505 29/06/22 21   15.5   0.0  22.4
1236505 29/06/22 18   15.5  -0.5  25.0
1236505 29/06/22 15   16.0  -0.2  23.3
1236505 29/06/22 12   16.2   0.2  19.4
1236505 29/06/22 09   16.0   2.2  18.6
1236505 29/06/22 06   13.8  -0.5  17.3
1236505 29/06/22 03   14.3  -0.2  19.0
1236505 29/06/22 00   14.5   0.7  19.5
1236505 28/06/22 21   13.8   0.1  22.5
1236505 28/06/22 18   13.7  -0.7  27.4
1236505 28/06/22 15   14.4   0.0  27.9
1236505 28/06/22 12   14.4   0.0  22.1
1236505 28/06/22 09   14.4  -0.1  17.5
1236505 28/06/22 06   14.5  -0.4  17.3
1236505 28/06/22 03   14.9  -0.6  18.6
1236505 28/06/22 00   15.5   0.8  22.8
1236505 27/06/22 21   14.7   0.8  28.8
1236505 27/06/22 18   13.9  -0.9  34.0
1236505 27/06/22 15   14.8  -0.4  36.0
1236505 27/06/22 12   15.2  -0.4  29.6
1236505 27/06/22 09   15.6   1.1  21.7
1236505 27/06/22 06   14.5  -0.2  15.6
1236505 27/06/22 03   14.7  -0.3  17.1
1236505 27/06/22 00   15.0   0.7  20.6
1236505 26/06/22 21   14.3   0.4  25.6
1236505 26/06/22 18   13.9  -0.1  29.3
1236505 26/06/22 15   14.0  -0.2  28.8
1236505 26/06/22 12   14.2  -0.4  29.5
1236505 26/06/22 09   14.6   0.3  19.0
1236505 26/06/22 06   14.3  -0.2  15.0
1236505 26/06/22 03   14.5  -0.3  16.8
1236505 26/06/22 00   14.8   0.3  17.4
1236505 25/06/22 21   14.5   0.6  20.4
1236505 25/06/22 18   13.9   0.3  20.0
1236505 25/06/22 15   13.6   0.0  23.2
1236505 25/06/22 12   13.6   0.2  23.0
1236505 25/06/22 09   13.4   0.7  16.8
1236505 25/06/22 06   12.7  -0.2  16.1
1236505 25/06/22 03   12.9  -0.2  17.8
1236505 25/06/22 00   13.1   0.1  18.6
1236505 24/06/22 21   13.0   0.5  20.0
1236505 24/06/22 18   12.5   0.3  20.4
1236505 24/06/22 15   12.2   0.4  19.0
1236505 24/06/22 12   11.8  -0.8  21.4
1236505 24/06/22 09   12.6   2.0  21.5
1236505 24/06/22 06   10.6  -0.4  14.0
1236505 24/06/22 03   11.0  -0.2  16.4
1236505 24/06/22 00   11.2   0.6  19.1
1236505 23/06/22 21   10.6   0.9  26.4
1236505 23/06/22 18    9.7  -0.8  30.8
1236505 23/06/22 15   10.5   0.1  30.7
1236505 23/06/22 12   10.4  -1.0  31.4
1236505 23/06/22 09   11.4   1.4  20.0
1236505 23/06/22 06   10.0  -0.2  13.3
1236505 23/06/22 03   10.2  -0.3  16.0
1236505 23/06/22 00   10.5   0.7  20.3
1236505 22/06/22 21    9.8   1.0  25.1
1236505 22/06/22 18    8.8  -0.6  30.5
1236505 22/06/22 15    9.4   0.0  31.6
1236505 22/06/22 12    9.4  -1.1  29.3
1236505 22/06/22 09   10.5   1.9  19.0
1236505 22/06/22 06    8.6  -0.4  12.4
1236505 22/06/22 03    9.0  -0.2  12.8
1236505 22/06/22 00    9.2   0.4  15.2
