STAN/CIS  DATUM CAS   [kg] ROZDIL TEPL
1236505 11/05/22 03    7.4  -0.2  12.5
1236505 11/05/22 00    7.6   0.1  15.1
1236505 10/05/22 21    7.5   0.9  19.5
1236505 10/05/22 18    6.6   0.6  25.5
1236505 10/05/22 15    6.0   0.4  26.6
1236505 10/05/22 12    5.6   0.0  26.4
1236505 10/05/22 09    5.6  -0.2  10.9
1236505 10/05/22 06    5.8  -0.1   7.2
1236505 10/05/22 03    5.9  -0.1   9.5
1236505 10/05/22 00    6.0   0.0  12.8
1236505 09/05/22 21    6.0   0.6  17.2
1236505 09/05/22 18    5.4   0.5  24.3
1236505 09/05/22 15    4.9   0.3  21.9
1236505 09/05/22 12    4.6   0.0  24.2
1236505 09/05/22 09    4.6   0.0  10.0
1236505 09/05/22 06    4.6   0.0   6.4
1236505 09/05/22 03    4.6  -0.2   9.2
1236505 09/05/22 00    4.8   0.0  11.8
1236505 08/05/22 21    4.8   0.3  14.0
1236505 08/05/22 18    4.5   0.4  16.7
1236505 08/05/22 15    4.1   0.3  21.6
1236505 08/05/22 12    3.8   0.0  22.3
1236505 08/05/22 09    3.8   0.0   9.1
1236505 08/05/22 06    3.8  -0.2   5.2
1236505 08/05/22 03    4.0   0.0   6.8
1236505 08/05/22 00    4.0   0.0   9.6
1236505 07/05/22 21    4.0   0.5  15.6
1236505 07/05/22 18    3.5   0.3  20.7
1236505 07/05/22 15    3.2   0.3  21.2
1236505 07/05/22 12    2.9  -0.1  23.3
1236505 07/05/22 09    3.0   0.0   8.6
1236505 07/05/22 06    3.0   0.0   4.6
1236505 07/05/22 03    3.0  -0.1   6.3
1236505 07/05/22 00    3.1  -0.1   9.1
1236505 06/05/22 21    3.2   0.4  14.7
1236505 06/05/22 18    2.8   0.4  17.4
1236505 06/05/22 15    2.4   0.0  19.9
1236505 06/05/22 12    2.4  -0.2  16.5
1236505 06/05/22 09    2.6   0.0   9.2
1236505 06/05/22 06    2.6   0.0   6.8
1236505 06/05/22 03    2.6  -0.1   7.7
1236505 06/05/22 00    2.7  -0.1  10.3
1236505 05/05/22 21    2.8   0.0  14.5
1236505 05/05/22 18    2.8  -0.4  15.6
1236505 05/05/22 15    3.2   0.5  22.2
1236505 05/05/22 12    2.7   0.1  20.4
1236505 05/05/22 09    2.6  -0.2  10.1
1236505 05/05/22 06    2.8   0.0   9.0
1236505 05/05/22 03    2.8  -0.2  10.8
1236505 05/05/22 00    3.0  -0.1  11.3
1236505 04/05/22 21    3.1   0.2  12.8
1236505 04/05/22 18    2.9   0.4  18.7
1236505 04/05/22 15    2.5   0.2  26.0
1236505 04/05/22 12    2.3  -0.1  21.3
1236505 04/05/22 09    2.4   0.2   9.2
1236505 04/05/22 06    2.2  -0.2   4.8
1236505 04/05/22 03    2.4  -0.1   7.1
1236505 04/05/22 00    2.5  -0.1  10.8
1236505 03/05/22 21    2.6   0.2  15.4
1236505 03/05/22 18    2.4   0.5  18.8
1236505 03/05/22 15    1.9   0.1  19.6
1236505 03/05/22 12    1.8   0.1  18.4
1236505 03/05/22 09    1.7  -0.1  10.5
1236505 03/05/22 06    1.8   0.0   8.7
1236505 03/05/22 03    1.8  -0.2   8.9
1236505 03/05/22 00    2.0   0.0  10.5
1236505 02/05/22 21    2.0   0.2  14.8
1236505 02/05/22 18    1.8   0.5  20.4
1236505 02/05/22 15    1.3   0.4  18.3
1236505 02/05/22 12    0.9  -0.1  22.3
1236505 02/05/22 09    1.0   0.0   8.2
1236505 02/05/22 06    1.0   0.0   7.3
1236505 02/05/22 03    1.0  -0.1   7.8
1236505 02/05/22 00    1.1   0.0   9.8
1236505 01/05/22 21    1.1   0.1  13.4
1236505 01/05/22 18    1.0   0.4  16.3
1236505 01/05/22 15    0.6   0.4  18.8
1236505 01/05/22 12    0.2  -1.2  20.9
1236505 01/05/22 09    1.4   0.1   7.0
1236505 01/05/22 06    1.3  -0.1   4.3
1236505 01/05/22 03    1.4  -0.1   6.2
1236505 01/05/22 00    1.5  -0.1   7.9
1236505 30/04/22 21    1.6   0.2  12.9
1236505 30/04/22 18    1.4   0.4  17.0
1236505 30/04/22 15    1.0   0.4  22.0
1236505 30/04/22 12    0.6   0.6  16.5
1236505 30/04/22 09    0.0   0.0   6.1
1236505 30/04/22 06    0.0   0.0   4.9
1236505 30/04/22 03    0.0   0.0   6.0
1236505 30/04/22 00    0.0  -0.1   8.3
1236505 29/04/22 21    0.1   0.1  12.8
1236505 29/04/22 18    0.0   0.4  17.2
1236505 29/04/22 15   -0.4   0.3  22.0
1236505 29/04/22 12   -0.7  -0.4  20.0
1236505 29/04/22 09   -0.3   0.3   5.4
1236505 29/04/22 06   -0.6   0.0   2.0
1236505 29/04/22 03   -0.6  -0.1   4.0
1236505 29/04/22 00   -0.5  -0.1   7.2
1236505 28/04/22 21   -0.4  -0.1  12.8
1236505 28/04/22 18   -0.3   1.1  17.7
1236505 28/04/22 15   -1.4   0.3  19.1
1236505 28/04/22 12   -1.7  -0.4  18.9
1236505 28/04/22 09   -1.3   0.5   5.2
1236505 28/04/22 06   -1.8   0.0   2.1
1236505 28/04/22 03   -1.8   0.0   3.6
1236505 28/04/22 00   -1.8  -0.1   6.5
1236505 27/04/22 21   -1.7  -0.1  10.1
1236505 27/04/22 18   -1.6   0.3  13.2
1236505 27/04/22 15   -1.9  -0.1  14.1
1236505 27/04/22 12   -1.8  -0.4  16.8
1236505 27/04/22 09   -1.4   0.3   7.6
1236505 27/04/22 06   -1.7  -0.1   6.8
1236505 27/04/22 03   -1.6   0.2   7.5
1236505 27/04/22 00   -1.8   0.1   8.0
1236505 26/04/22 21   -1.9   0.1   9.9
1236505 26/04/22 18   -2.0   0.0  11.7
1236505 26/04/22 15   -2.0   0.2  13.4
1236505 26/04/22 12   -2.2  -0.4  16.4
1236505 26/04/22 09   -1.8   0.4   3.7
1236505 26/04/22 06   -2.2   0.0   1.7
1236505 26/04/22 03   -2.2   0.0   2.0
1236505 26/04/22 00   -2.2  -0.1   4.4
1236505 25/04/22 21   -2.1  -0.5   9.0
1236505 25/04/22 18   -1.6   0.4  13.8
1236505 25/04/22 15   -2.0  -0.5  16.0
1236505 25/04/22 12   -1.5   0.1  12.5
1236505 25/04/22 09   -1.6   0.2   6.7
1236505 25/04/22 06   -1.8  -0.1   6.1
1236505 25/04/22 03   -1.7  -0.1   6.4
1236505 25/04/22 00   -1.6   0.0   6.5
1236505 24/04/22 21   -1.6   0.2   6.7
1236505 24/04/22 18   -1.8  -0.3   8.1
1236505 24/04/22 15   -1.5  -0.3   8.0
1236505 24/04/22 12   -1.2   0.0   8.7
1236505 24/04/22 09   -1.2  -0.1   8.3
1236505 24/04/22 06   -1.1  -0.1   7.0
1236505 24/04/22 03   -1.0   0.0   6.4
1236505 24/04/22 00   -1.0   0.0   7.6
1236505 23/04/22 21   -1.0  -0.2  11.2
1236505 23/04/22 18   -0.8   0.4  15.5
1236505 23/04/22 15   -1.2   0.2  16.0
1236505 23/04/22 12   -1.4  -0.1  13.6
1236505 23/04/22 09   -1.3  -0.1   7.2
1236505 23/04/22 06   -1.2   0.0   7.4
1236505 23/04/22 03   -1.2   0.0   7.6
1236505 23/04/22 00   -1.2  -0.1   7.6
1236505 22/04/22 21   -1.1  -0.1   8.5
1236505 22/04/22 18   -1.0   0.0  10.0
1236505 22/04/22 15   -1.0   0.2  12.3
1236505 22/04/22 12   -1.2  -0.3  15.9
1236505 22/04/22 09   -0.9   0.1   7.2
1236505 22/04/22 06   -1.0   0.0   4.5
1236505 22/04/22 03   -1.0  -0.1   4.8
1236505 22/04/22 00   -0.9  -0.1   6.8
1236505 21/04/22 21   -0.8   0.0   8.3
1236505 21/04/22 18   -0.8   0.0  10.9
1236505 21/04/22 15   -0.8   0.0  10.9
1236505 21/04/22 12   -0.8   0.2   8.8
1236505 21/04/22 09   -1.0   0.0   6.0
1236505 21/04/22 06   -1.0  -0.2   5.4
1236505 21/04/22 03   -0.8   0.0   5.8
1236505 21/04/22 00   -0.8   0.0   5.9
1236505 20/04/22 21   -0.8   0.0   7.1
1236505 20/04/22 18   -0.8   0.0  10.4
1236505 20/04/22 15   -0.8   0.1  12.5
1236505 20/04/22 12   -0.9  -0.3  11.5
1236505 20/04/22 09   -0.6   0.4   0.4
1236505 20/04/22 06   -1.0  -0.1  -1.7
1236505 20/04/22 03   -0.9  -0.1  -0.4
1236505 20/04/22 00   -0.8   0.0   1.4
1236505 19/04/22 21   -0.8   0.0   6.8
1236505 19/04/22 18   -0.8  -0.4  10.0
1236505 19/04/22 15   -0.4   0.1  13.5
1236505 19/04/22 12   -0.5  -0.1  14.0
1236505 19/04/22 09   -0.4   0.1   4.7
1236505 19/04/22 06   -0.5  -0.1   2.3
1236505 19/04/22 03   -0.4   0.0   2.0
1236505 19/04/22 00   -0.4   0.0   4.1
1236505 18/04/22 21   -0.4  -0.4   9.4
1236505 18/04/22 18    0.0   0.6  14.4
1236505 18/04/22 15   -0.6   0.1  16.6
1236505 18/04/22 12   -0.7  -0.5  17.4
1236505 18/04/22 09   -0.2   0.3   1.2
1236505 18/04/22 06   -0.5  -0.1  -0.8
1236505 18/04/22 03   -0.4   0.0   0.7
1236505 18/04/22 00   -0.4   0.0   3.6
1236505 17/04/22 21   -0.4  -0.3   9.7
1236505 17/04/22 18   -0.1   0.3  12.7
1236505 17/04/22 15   -0.4   0.0  15.6
1236505 17/04/22 12   -0.4  -0.4  14.9
1236505 17/04/22 09    0.0   0.2   0.6
1236505 17/04/22 06   -0.2   0.0  -1.6
1236505 17/04/22 03   -0.2   0.0   0.0
1236505 17/04/22 00   -0.2   0.0   1.7
1236505 16/04/22 21   -0.2  -0.2   6.4
1236505 16/04/22 18    0.0   0.2   9.8
1236505 16/04/22 15   -0.2   0.1  13.1
1236505 16/04/22 12   -0.3  -0.1  11.4
1236505 16/04/22 09   -0.2   0.0   4.4
1236505 16/04/22 06   -0.2   0.0   5.4
1236505 16/04/22 03   -0.2   0.0   7.1
1236505 16/04/22 00   -0.2   0.0   7.7
1236505 15/04/22 21   -0.2  -0.4   8.8
1236505 15/04/22 18    0.2   0.3  10.9
1236505 15/04/22 15   -0.1  -0.1  14.0
1236505 15/04/22 12    0.0   0.0  14.8
1236505 15/04/22 09    0.0   0.0   8.7
1236505 15/04/22 06    0.0   0.0   6.8
1236505 15/04/22 03    0.0   0.0  10.0
1236505 15/04/22 00    0.0   0.2  11.6
1236505 14/04/22 21   -0.2   0.0  14.0
1236505 14/04/22 18   -0.2   0.2  18.8
1236505 14/04/22 15   -0.4   0.0  23.7
1236505 14/04/22 12   -0.4  -0.3  20.2
1236505 14/04/22 09   -0.1   0.3   4.9
1236505 14/04/22 06   -0.4   0.0   3.2
1236505 14/04/22 03   -0.4  -0.1   5.0
1236505 14/04/22 00   -0.3  -0.1   8.0
1236505 13/04/22 21   -0.2  -0.1  13.0
1236505 13/04/22 18   -0.1   0.0  18.1
1236505 13/04/22 15   -0.1   0.1  21.1
1236505 13/04/22 12   -0.2  -0.2  17.1
1236505 13/04/22 09    0.0   0.2   4.0
1236505 13/04/22 06   -0.2   0.0   1.1
1236505 13/04/22 03   -0.2  -0.1   3.2
1236505 13/04/22 00   -0.1  -0.1   6.3
1236505 12/04/22 21    0.0  -0.2  10.7
1236505 12/04/22 18    0.2  -0.3  14.9
1236505 12/04/22 15    0.5   0.1  17.9
1236505 12/04/22 12    0.4  -0.2  16.0
1236505 12/04/22 09    0.6   0.2   0.6
1236505 12/04/22 06    0.4   0.0  -0.8
1236505 12/04/22 03    0.4  -0.1   0.0
1236505 12/04/22 00    0.5  -0.1   2.0
1236505 11/04/22 21    0.6  -0.6   7.5
1236505 11/04/22 18    1.2   0.1  10.3
1236505 11/04/22 15    1.1  -0.1  14.1
1236505 11/04/22 12    1.2  -0.2  12.0
1236505 11/04/22 09    1.4   0.2  -0.1
1236505 11/04/22 06    1.2   0.0  -1.2
1236505 11/04/22 03    1.2   0.0   0.4
1236505 11/04/22 00    1.2   0.0   1.7
1236505 10/04/22 21    1.2  -0.2   3.5
1236505 10/04/22 18    1.4  -0.2   5.6
1236505 10/04/22 15    1.6   0.1   7.5
1236505 10/04/22 12    1.5  -0.1   4.8
1236505 10/04/22 09    1.6   0.2   2.0
1236505 10/04/22 06    1.4   0.0   1.0
1236505 10/04/22 03    1.4   0.0   1.9
1236505 10/04/22 00    1.4  -0.1   1.9
1236505 09/04/22 21    1.5   0.2   2.1
1236505 09/04/22 18    1.3  -0.2   5.2
1236505 09/04/22 15    1.5  -0.5   6.0
1236505 09/04/22 12    2.0  -1.3   3.8
1236505 09/04/22 09    3.3   0.1   2.1
1236505 09/04/22 06    3.2   0.2   1.3
1236505 09/04/22 03    3.0   1.4   1.2
1236505 09/04/22 00    1.6  -0.2   1.5
1236505 08/04/22 21    1.8   0.4   1.7
1236505 08/04/22 18    1.4   0.2   4.5
1236505 08/04/22 15    1.2  -0.2   8.0
1236505 08/04/22 12    1.4  -0.1   7.5
1236505 08/04/22 09    1.5   0.0   5.9
1236505 08/04/22 06    1.5  -0.1   5.4
1236505 08/04/22 03    1.6  -0.2   4.8
1236505 08/04/22 00    1.8   0.0   6.0
1236505 07/04/22 21    1.8   1.0   6.8
1236505 07/04/22 18    0.8  -0.2  11.5
1236505 07/04/22 15    1.0   0.0  12.4
1236505 07/04/22 12    1.0   0.0  10.4
1236505 07/04/22 09    1.0  -0.1   7.9
1236505 07/04/22 06    1.1   0.1   7.2
1236505 07/04/22 03    1.0   0.0   6.4
1236505 07/04/22 00    1.0   0.0   7.9
1236505 06/04/22 21    1.0  -0.2   9.7
1236505 06/04/22 18    1.2   0.0  12.5
1236505 06/04/22 15    1.2   0.0  12.8
1236505 06/04/22 12    1.2   0.0   9.7
1236505 06/04/22 09    1.2   0.0   7.7
1236505 06/04/22 06    1.2   0.0   7.4
1236505 06/04/22 03    1.2   0.0   7.1
1236505 06/04/22 00    1.2   0.0   6.4
1236505 05/04/22 21    1.2   0.1   6.3
1236505 05/04/22 18    1.1   0.0   5.7
1236505 05/04/22 15    1.1  -0.1   5.7
1236505 05/04/22 12    1.2   0.1   5.5
1236505 05/04/22 09    1.1  -0.1   2.4
1236505 05/04/22 06    1.2   0.0   2.0
1236505 05/04/22 03    1.2   0.2   2.5
1236505 05/04/22 00    1.0   0.0   2.8
1236505 04/04/22 21    1.0   0.2   2.0
1236505 04/04/22 18    0.8  -0.2   5.4
1236505 04/04/22 15    1.0   0.1   7.6
1236505 04/04/22 12    0.9  -0.1   8.3
1236505 04/04/22 09    1.0   0.1  -2.2
1236505 04/04/22 06    0.9  -0.1  -3.2
1236505 04/04/22 03    1.0   0.0  -2.6
1236505 04/04/22 00    1.0   0.0  -1.6
1236505 03/04/22 21    1.0   0.0   0.4
1236505 03/04/22 18    1.0  -0.2   3.6
1236505 03/04/22 15    1.2   0.1   3.6
1236505 03/04/22 12    1.1  -0.1   6.8
1236505 03/04/22 09    1.2   0.0  -1.0
1236505 03/04/22 06    1.2   0.0   0.0
1236505 03/04/22 03    1.2   0.0   0.4
1236505 03/04/22 00    1.2   0.0   0.7
1236505 02/04/22 21    1.2  -0.2   2.0
1236505 02/04/22 18    1.4   0.0   4.0
1236505 02/04/22 15    1.4  -0.1   4.1
1236505 02/04/22 12    1.5  -0.1   1.4
1236505 02/04/22 09    1.6   0.0  -0.1
1236505 02/04/22 06    1.6   0.0   0.0
1236505 02/04/22 03    1.6   0.0   0.7
1236505 02/04/22 00    1.6   0.0   0.8
1236505 01/04/22 21    1.6   0.0   1.0
1236505 01/04/22 18    1.6   0.0   2.0
1236505 01/04/22 15    1.6   0.0   2.4
1236505 01/04/22 12    1.6   0.0   2.4
1236505 01/04/22 09    1.6   0.0   1.6
1236505 01/04/22 06    1.6   0.0   2.0
1236505 01/04/22 03    1.6   0.0   2.3
1236505 01/04/22 00    1.6   0.0   2.3
1236505 31/03/22 21    1.6   0.0   2.8
1236505 31/03/22 18    1.6  -0.4   3.6
1236505 31/03/22 15    2.0   0.1   3.9
1236505 31/03/22 12    1.9   0.0   3.6
1236505 31/03/22 09    1.9   0.0   3.1
1236505 31/03/22 06    1.9  -0.1   3.3
1236505 31/03/22 03    2.0   0.0   3.5
1236505 31/03/22 00    2.0   0.0   3.8
1236505 30/03/22 21    2.0  -0.1   5.2
1236505 30/03/22 18    2.1   0.0   6.6
1236505 30/03/22 15    2.1   0.3   8.1
1236505 30/03/22 12    1.8  -0.1   7.8
1236505 30/03/22 09    1.9   0.0   5.2
1236505 30/03/22 06    1.9  -0.1   5.2
1236505 30/03/22 03    2.0   0.0   6.1
1236505 30/03/22 00    2.0  -0.1   6.8
1236505 29/03/22 21    2.1  -0.1   9.4
1236505 29/03/22 18    2.2   0.1  14.0
1236505 29/03/22 15    2.1   0.1  15.9
1236505 29/03/22 12    2.0   0.1  11.6
1236505 29/03/22 09    1.9  -0.1   3.1
1236505 29/03/22 06    2.0   0.0   2.2
1236505 29/03/22 03    2.0  -0.2   3.6
1236505 29/03/22 00    2.2  -0.1   6.4
1236505 28/03/22 21    2.3   0.0  11.4
1236505 28/03/22 18    2.3   0.1  17.2
1236505 28/03/22 15    2.2   0.2  20.4
1236505 28/03/22 12    2.0   0.0  18.3
1236505 28/03/22 09    2.0   0.0   0.4
1236505 28/03/22 06    2.0  -0.1   0.8
1236505 28/03/22 03    2.1  -0.1   2.6
1236505 28/03/22 01    2.2  -0.1   5.5
1236505 27/03/22 22    2.3  -0.1  10.5
1236505 27/03/22 19    2.4  -0.1  14.4
1236505 27/03/22 16    2.5   0.4  20.9
1236505 27/03/22 13    2.1   0.0  13.8
1236505 27/03/22 10    2.1  -0.1   7.4
1236505 27/03/22 07    2.2   0.0   7.3
1236505 27/03/22 04    2.2  -0.1   7.2
1236505 27/03/22 00    2.3  -0.1   6.9
1236505 26/03/22 21    2.4  -0.1   9.9
1236505 26/03/22 18    2.5  -0.1  14.3
1236505 26/03/22 15    2.6   0.4  21.8
1236505 26/03/22 12    2.2  -0.1  16.4
1236505 26/03/22 09    2.3   0.0  -1.1
1236505 26/03/22 06    2.3  -0.1  -1.1
1236505 26/03/22 03    2.4   0.0   0.2
1236505 26/03/22 00    2.4  -0.2   2.7
1236505 25/03/22 21    2.6   0.0   8.3
1236505 25/03/22 18    2.6  -0.2  13.6
1236505 25/03/22 15    2.8   0.3  20.6
1236505 25/03/22 12    2.5  -0.1  16.3
1236505 25/03/22 09    2.6   0.0  -1.2
1236505 25/03/22 06    2.6   0.0  -0.8
1236505 25/03/22 03    2.6  -0.2   0.9
1236505 25/03/22 00    2.8   0.0   4.0
1236505 24/03/22 21    2.8  -0.2  10.5
1236505 24/03/22 18    3.0  -0.2  15.5
1236505 24/03/22 15    3.2   0.3  23.7
1236505 24/03/22 12    2.9  -0.1  17.7
1236505 24/03/22 09    3.0   0.0  -1.6
1236505 24/03/22 06    3.0   0.0  -1.0
1236505 24/03/22 03    3.0  -0.1   0.7
1236505 24/03/22 00    3.1  -0.1   3.8
1236505 23/03/22 21    3.2  -2.0  10.0
1236505 23/03/22 18    5.2  -8.5  15.7
1236505 23/03/22 15   13.7   0.4  24.4
1236505 23/03/22 12   13.3   0.0  17.0
1236505 23/03/22 09   13.3   0.0  -2.8
1236505 23/03/22 06   13.3  -0.1  -2.3
1236505 23/03/22 03   13.4  -0.1  -0.6
1236505 23/03/22 00   13.5  -0.1   1.6
1236505 22/03/22 21   13.6  -0.1   7.1
1236505 22/03/22 18   13.7   0.1  12.2
1236505 22/03/22 15   13.6  -0.8  18.3
1236505 22/03/22 12   14.4   0.0  14.4
1236505 22/03/22 09   14.4   0.0  -4.3
1236505 22/03/22 06   14.4  -0.1  -3.8
1236505 22/03/22 03   14.5   0.0  -2.4
1236505 22/03/22 00   14.5  -0.1  -0.1
1236505 21/03/22 21   14.6  -0.1   4.5
1236505 21/03/22 18   14.7  -0.2  10.0
1236505 21/03/22 15   14.9   0.2  14.2
1236505 21/03/22 12   14.7   0.1  11.3
1236505 21/03/22 09   14.6   0.0  -2.4
1236505 21/03/22 06   14.6  -0.1  -1.8
1236505 21/03/22 03   14.7   0.0   1.3
1236505 21/03/22 00   14.7   0.0   1.4
1236505 20/03/22 21   14.7  -0.1   4.8
1236505 20/03/22 18   14.8  -0.1   9.6
1236505 20/03/22 15   14.9   0.1  13.6
1236505 20/03/22 12   14.8   0.0  11.8
1236505 20/03/22 09   14.8   0.0  -0.8
1236505 20/03/22 06   14.8   0.0   0.0
1236505 20/03/22 03   14.8  -0.1   0.9
1236505 20/03/22 00   14.9   0.0   2.4
1236505 19/03/22 21   14.9  -0.1   3.6
1236505 19/03/22 18   15.0   0.0   6.6
1236505 19/03/22 15   15.0   0.0   5.9
1236505 19/03/22 12   15.0   0.1   6.0
1236505 19/03/22 09   14.9   0.1  -1.2
1236505 19/03/22 06   14.8  -0.1  -1.4
1236505 19/03/22 03   14.9   0.0  -0.3
1236505 19/03/22 00   14.9  -0.1   1.2
1236505 18/03/22 21   15.0  -0.1   4.9
1236505 18/03/22 18   15.1   0.0   9.7
1236505 18/03/22 15   15.1   0.0  12.8
1236505 18/03/22 12   15.1   0.1   7.7
1236505 18/03/22 09   15.0   0.0   2.1
1236505 18/03/22 06   15.0   0.0   3.1
1236505 18/03/22 03   15.0   0.0   4.2
1236505 18/03/22 00   15.0   0.0   5.6
1236505 17/03/22 21   15.0  -0.1   7.2
1236505 17/03/22 18   15.1   0.0  10.0
1236505 17/03/22 15   15.1   0.0  10.4
1236505 17/03/22 12   15.1   0.1   6.8
1236505 17/03/22 09   15.0   0.1   2.7
1236505 17/03/22 06   14.9   0.0   0.6
1236505 17/03/22 03   14.9   0.0   1.0
1236505 17/03/22 00   14.9  -0.1   2.4
1236505 16/03/22 21   15.0  -0.1   5.8
1236505 16/03/22 18   15.1  -0.1  12.1
1236505 16/03/22 15   15.2  -0.2  13.4
1236505 16/03/22 12   15.4  -0.1  14.0
1236505 16/03/22 09   15.5   0.0   4.0
1236505 16/03/22 06   15.5  -0.1   4.9
1236505 16/03/22 03   15.6  -0.1   4.4
1236505 16/03/22 00   15.7  -0.5   4.6
1236505 15/03/22 21   16.2   0.2   5.0
1236505 15/03/22 18   16.0  -0.2   7.6
1236505 15/03/22 15   16.2   0.0  10.0
1236505 15/03/22 12   16.2   0.1   4.4
1236505 15/03/22 09   16.1   0.0  -1.3
1236505 15/03/22 06   16.1   0.0  -1.2
1236505 15/03/22 03   16.1   0.0  -1.2
1236505 15/03/22 00   16.1  -0.1   0.0
1236505 14/03/22 21   16.2   0.0   3.0
1236505 14/03/22 18   16.2  -0.2   7.2
1236505 14/03/22 15   16.4   0.0   8.8
1236505 14/03/22 12   16.4   0.2   5.2
1236505 14/03/22 09   16.2   0.0  -2.9
1236505 14/03/22 06   16.2  -0.1  -1.5
1236505 14/03/22 03   16.3   0.0   0.0
1236505 14/03/22 00   16.3   0.0   1.8
1236505 13/03/22 21   16.3  -0.1   3.5
1236505 13/03/22 18   16.4  -0.4   8.7
1236505 13/03/22 15   16.8   0.4  13.2
1236505 13/03/22 12   16.4  -0.1  10.7
1236505 13/03/22 09   16.5   0.0  -3.1
1236505 13/03/22 06   16.5   0.0  -3.5
1236505 13/03/22 03   16.5   0.0  -2.0
1236505 13/03/22 00   16.5   0.0   0.4
1236505 12/03/22 21   16.5  -0.1   3.7
1236505 12/03/22 18   16.6  -0.4   8.4
1236505 12/03/22 15   17.0   0.4  12.1
1236505 12/03/22 12   16.6  -0.1   9.4
1236505 12/03/22 09   16.7   0.0  -4.0
1236505 12/03/22 06   16.7   0.1  -2.8
1236505 12/03/22 03   16.6  -0.1  -2.6
1236505 12/03/22 00   16.7   0.0  -1.8
1236505 11/03/22 21   16.7  -0.1   1.5
1236505 11/03/22 18   16.8  -0.4   5.9
1236505 11/03/22 15   17.2   0.4   9.4
1236505 11/03/22 12   16.8  -0.1   8.4
1236505 11/03/22 09   16.9   0.0  -4.0
1236505 11/03/22 06   16.9   0.0  -2.9
1236505 11/03/22 03   16.9   0.0  -2.4
1236505 11/03/22 00   16.9  -0.1   0.0
1236505 10/03/22 21   17.0   0.0   2.6
1236505 10/03/22 18   17.0  -0.5   7.9
1236505 10/03/22 15   17.5   0.3  15.2
1236505 10/03/22 12   17.2   0.1  13.3
1236505 10/03/22 09   17.1   0.0  -4.7
1236505 10/03/22 06   17.1   0.0  -3.9
1236505 10/03/22 03   17.1   0.0  -2.8
1236505 10/03/22 00   17.1  -0.1  -1.0
1236505 09/03/22 21   17.2  -0.1   3.1
1236505 09/03/22 18   17.3  -0.4   8.3
1236505 09/03/22 15   17.7   0.2  16.2
1236505 09/03/22 12   17.5   0.1  12.4
1236505 09/03/22 09   17.4   0.0  -5.2
1236505 09/03/22 06   17.4   0.0  -4.5
1236505 09/03/22 03   17.4   0.0  -3.4
1236505 09/03/22 00   17.4  -0.1  -2.0
1236505 08/03/22 21   17.5  -0.1   1.1
1236505 08/03/22 18   17.6  -0.4   6.0
1236505 08/03/22 15   18.0   0.3  12.4
1236505 08/03/22 12   17.7   0.0  10.8
1236505 08/03/22 09   17.7   0.1  -5.0
1236505 08/03/22 06   17.6   0.0  -3.9
1236505 08/03/22 03   17.6  -0.1  -1.4
1236505 08/03/22 00   17.7   0.0  -1.5
1236505 07/03/22 21   17.7  -0.1   0.3
1236505 07/03/22 18   17.8  -0.5   3.6
1236505 07/03/22 15   18.3   0.4   8.4
1236505 07/03/22 12   17.9   0.1   2.0
1236505 07/03/22 09   17.8   0.0  -1.8
1236505 07/03/22 06   17.8   0.0  -1.7
1236505 07/03/22 03   17.8   0.0  -1.6
1236505 07/03/22 00   17.8   0.0  -1.2
1236505 06/03/22 21   17.8   0.0  -0.7
1236505 06/03/22 18   17.8  -0.1   0.3
1236505 06/03/22 15   17.9   0.0   2.0
1236505 06/03/22 12   17.9   0.1   0.7
1236505 06/03/22 09   17.8   0.0  -2.7
1236505 06/03/22 06   17.8   0.0  -3.5
1236505 06/03/22 03   17.8  -0.1  -0.4
1236505 06/03/22 00   17.9   0.0   0.3
1236505 05/03/22 21   17.9   0.0   1.1
1236505 05/03/22 18   17.9  -0.1   3.4
1236505 05/03/22 15   18.0   0.0   4.8
1236505 05/03/22 12   18.0   0.1   1.0
1236505 05/03/22 09   17.9   0.1  -2.8
1236505 05/03/22 06   17.8   0.0  -3.1
1236505 05/03/22 03   17.8  -0.1  -2.0
1236505 05/03/22 00   17.9   0.0  -1.3
1236505 04/03/22 21   17.9  -0.1  -0.1
1236505 04/03/22 18   18.0   0.0   2.5
1236505 04/03/22 15   18.0  -0.1   4.8
1236505 04/03/22 12   18.1   0.1   8.8
1236505 04/03/22 09   18.0   0.1  -5.5
1236505 04/03/22 06   17.9  -0.1  -4.4
1236505 04/03/22 03   18.0   0.1  -4.0
1236505 04/03/22 00   17.9  -0.1  -2.4
1236505 03/03/22 21   18.0  -0.1   0.7
1236505 03/03/22 18   18.1  -0.6   5.6
1236505 03/03/22 15   18.7   0.3  12.7
1236505 03/03/22 12   18.4   0.1   7.0
1236505 03/03/22 09   18.3   0.0  -6.0
1236505 03/03/22 06   18.3   0.1  -5.5
1236505 03/03/22 03   18.2   0.0  -4.4
1236505 03/03/22 00   18.2  -0.1  -2.8
1236505 02/03/22 21   18.3  -0.2   0.3
1236505 02/03/22 18   18.5  -0.5   5.2
1236505 02/03/22 15   19.0   0.5  10.2
1236505 02/03/22 12   18.5   0.0   3.1
1236505 02/03/22 09   18.5   0.1  -4.7
1236505 02/03/22 06   18.4   0.0  -5.4
1236505 02/03/22 03   18.4   0.0  -4.1
1236505 02/03/22 00   18.4   0.0  -2.6
1236505 01/03/22 21   18.4  -0.2  -0.4
1236505 01/03/22 18   18.6  -0.4   4.3
